Name,Score,Time,Link,Addr
17도씨,3.9,매일 12:30 ~ 22:00,https://place.map.kakao.com/25606682,"
서울 마포구 동교로29길 38
(지번) 연남동 257-21
"
빌리엔젤 홍대점,2.9,매일 10:00 ~ 23:00,https://place.map.kakao.com/17709436,"
서울 마포구 와우산로 103
(지번) 서교동 343-9
"
연남살롱,3.0,수~일 14:00 ~ 22:00,https://place.map.kakao.com/23734629,"
서울 마포구 성미산로 122-1
(지번) 연남동 504-33
"
미스터리룸이스케이프 홍대2호점,4.4,매일 10:30 ~ 23:30,https://place.map.kakao.com/727312827,"
서울 마포구 독막로7길 41 2층
(지번) 서교동 398-1
"
모멘트커피 2호점,3.0,매일 10:00 ~ 22:00,https://place.map.kakao.com/2040780653,"
서울 마포구 월드컵북로4길 29
(지번) 동교동 203-30
"
바온하우스,3.5,영업시간 화~일 12:00 ~ 20:00,https://place.map.kakao.com/258344814,"
서울 마포구 성미산로17길 62
(지번) 연남동 487-343
"
달콤한거짓말,3.9,화~일 11:00 ~ 23:30,https://place.map.kakao.com/14565564,"
서울 마포구 독막로 61-4
(지번) 상수동 317-11
"
스타일난다 핑크풀카페 홍대점,4.0,매일 11:00 ~ 23:00,https://place.map.kakao.com/1010612115,"
서울 마포구 와우산로29다길 23 플래그십 스토어 4층
(지번) 서교동 335-21
"
후엘고,4.3,영업시간 일 11:00 ~ 18:00,https://place.map.kakao.com/640140088,"
서울 마포구 마포대로11길 118 1층
(지번) 염리동 128-8
"
앤스,3.4,매일 12:00 ~ 21:00,https://place.map.kakao.com/423570307,"
서울 마포구 성미산로 174 2층
(지번) 연남동 229-3
"
뉴오리진 마포점,4.5,매일 09:00 ~ 21:00,https://place.map.kakao.com/1275578713,"
서울 마포구 큰우물로 62 1,2층
(지번) 용강동 19-3
"
보이드,2.3,영업시간 매일 10:00 ~ 20:00,https://place.map.kakao.com/1684996881,"
서울 마포구 월드컵북로12안길 35 1층
(지번) 성산동 108-5
"
카페여유,4.3,일요일,https://place.map.kakao.com/27303275,"
서울 마포구 망원로 62-1 1층
(지번) 망원동 415-15
"
와줘서고마워,3.4,수~일 11:00 ~ 21:30,https://place.map.kakao.com/27543967,"
서울 마포구 양화로11길 22
(지번) 서교동 380-15
"
맨션나인,5.0,"토,일 12:00 ~ 24:00",https://place.map.kakao.com/1185206312,"
서울 마포구 토정로11길 60 1층
(지번) 상수동 331-17
"
몽마르뜨언덕위 은하수다방,3.5,금~일 11:00 ~ 24:00,https://place.map.kakao.com/1066406240,"
서울 마포구 토정로 33-1
(지번) 합정동 368-11
"
로우머,4.2,매일 11:00 ~ 22:00,https://place.map.kakao.com/876998842,"
서울 마포구 월드컵로13길 55-26 1층
(지번) 망원동 57-179
"
키이스케이프 홍대점,3.6,,https://place.map.kakao.com/200411443,"
서울 마포구 어울마당로 44-1 지하 1층
(지번) 서교동 408-27
"
퍼셉션,4.2,매일 10:00 ~ 22:00,https://place.map.kakao.com/592727195,"
서울 마포구 어울마당로1길 16 1층
(지번) 합정동 355-2
"
사월의물고기,4.5,목~일 12:30 ~ 20:30,https://place.map.kakao.com/1865676438,"
서울 마포구 성미산로 89 1층
(지번) 성산동 223-2
"
스탠스커피,4.3,매일 12:00 ~ 23:00,https://place.map.kakao.com/1494667205,"
서울 마포구 와우산로11길 9 1층
(지번) 상수동 93-111
"
커피폴리,4.2,"토,일 09:00 ~ 22:00",https://place.map.kakao.com/1184891158,"
서울 마포구 양화로11길 14 1층
(지번) 서교동 378-19
"
재미난조각가 홍대점,2.3,,https://place.map.kakao.com/12532489,"
서울 마포구 와우산로21길 24 2층
(지번) 서교동 358-124
"
꽈페,3.4,매일 10:30 ~ 21:00,https://place.map.kakao.com/1966671895,"
서울 마포구 동교로46길 20 1층
(지번) 연남동 387-26
"
모파상,2.8,일 11:00 ~ 22:00,https://place.map.kakao.com/1303946901,"
서울 마포구 양화로19길 22-13
(지번) 동교동 153-5
"
데일리라운드,3.9,매일 12:00 ~ 22:00,https://place.map.kakao.com/23098139,"
서울 마포구 동교로38길 27-19 2층
(지번) 연남동 390-28
"
마담티라미수,2.8,매일 11:00 ~ 23:00,https://place.map.kakao.com/272519703,"
서울 마포구 양화로3길 55 지하 1층
(지번) 합정동 386-37
"
카페고마워늘,3.7,,https://place.map.kakao.com/1672763670,"
서울 마포구 월드컵로1길 43 2층
(지번) 합정동 382-16
"
르돌치1946 상수점,3.0,매일 11:00 ~ 23:00,https://place.map.kakao.com/27355992,"
서울 마포구 토정로 128 서강팔경빌딩 7층
(지번) 상수동 356-6
"
꾸머카페,4.3,매일 11:00 ~ 21:50,https://place.map.kakao.com/524479272,"
서울 마포구 합정동 376-35 나동 1층,2층

"
카페너와늘,3.0,,https://place.map.kakao.com/156921077,"
서울 마포구 월드컵로3길 31-8 2층
(지번) 합정동 388-10
"
플레이보드 홍대2호점,4.4,매일 12:00 ~ 23:30,https://place.map.kakao.com/1748850413,"
서울 마포구 잔다리로6길 20-9 3층
(지번) 서교동 366-7
"
목화씨라운지,3.8,영업시간 매일 13:00 ~ 20:00,https://place.map.kakao.com/767138655,"
서울 마포구 성미산로29길 23
(지번) 연남동 245-63
"
영앤도터스,3.7,"영업시간 토,일 10:00 ~ 17:00",https://place.map.kakao.com/1419437580,"
서울 마포구 마포대로 156 공덕푸르지오시티 1층 107호
(지번) 공덕동 475
"
집사의하루 홍대점,4.9,,https://place.map.kakao.com/1228594008,"
서울 마포구 와우산로21길 19-8 태경빌딩 2층
(지번) 서교동 364-2
"
퀜치커피,4.3,"월,화,금,토,일 12:00 ~ 22:00",https://place.map.kakao.com/349406544,"
서울 마포구 동교로12안길 9 1층
(지번) 서교동 480-12
"
폴링디저트,4.3,매일 12:00 ~ 21:00,https://place.map.kakao.com/452082992,"
서울 마포구 와우산로29길 44 1층
(지번) 서교동 328-26
"
이리까페,3.8,일 11:00 ~ 24:00,https://place.map.kakao.com/13282351,"
서울 마포구 와우산로3길 27 1층
(지번) 상수동 337-4
"
그릭데이 홍대점,4.5,영업시간 일 12:00 ~ 20:00,https://place.map.kakao.com/960961871,"
서울 마포구 홍익로 10 서교푸르지오 101동 1층 119호
(지번) 서교동 486
"
아비아채 서울홍대점,3.6,매일 10:30 ~ 01:00,https://place.map.kakao.com/1095339694,"
서울 마포구 와우산로37길 52 오하나하우스 1층
(지번) 동교동 177-24
"
스타벅스 홍대역점,2.1,"토,일 08:00 ~ 22:00",https://place.map.kakao.com/22105109,"
서울 마포구 양화로 165 상진빌딩 1층
(지번) 동교동 159-1
"
코이크,3.0,매일 11:00 ~ 21:00,https://place.map.kakao.com/727239043,"
서울 마포구 동교로39길 8 2층
(지번) 연남동 255-23
"
퍼블리크 광흥창점,3.0,"토,일 09:00 ~ 21:00",https://place.map.kakao.com/19901155,"
서울 마포구 토정로 195 1층
(지번) 구수동 70-3
"
망원동티라미수 본점,2.8,매일 11:00 ~ 23:00,https://place.map.kakao.com/1913981049,"
서울 마포구 포은로 87 1층
(지번) 망원동 399-36
"
콘하스 연희점,2.5,일 10:00 ~ 22:00,https://place.map.kakao.com/273114016,"
서울 서대문구 연희로27길 99
(지번) 연희동 90-1
"
앤트러사이트 연희점,3.5,매일 09:00 ~ 22:00,https://place.map.kakao.com/445165609,"
서울 서대문구 연희로 135
(지번) 연희동 89-19
"
더파이홀,3.9,매일 11:00 ~ 23:00,https://place.map.kakao.com/1011256721,"
서울 서대문구 연세로5나길 20
(지번) 창천동 57-61
"
매뉴팩트커피 연희본점,4.3,일요일,https://place.map.kakao.com/21542432,"
서울 서대문구 연희로11길 29 2층
(지번) 연희동 130-2
"
고르드,2.5,매일 08:00 ~ 22:30,https://place.map.kakao.com/26409687,"
서울 서대문구 연세로 32 1~4층
(지번) 창천동 31-15
"
스웨이커피스테이션,4.3,매일 11:00 ~ 22:00,https://place.map.kakao.com/1467009878,"
서울 서대문구 연희로11길 61
(지번) 연희동 126-1
"
클로리스 신촌점,4.2,일 13:00 ~ 23:00,https://place.map.kakao.com/8122805,"
서울 서대문구 연세로4길 38
(지번) 창천동 13-35
"
독수리다방,4.3,일 11:00 ~ 23:00,https://place.map.kakao.com/18826661,"
서울 서대문구 연세로 36 독수리빌딩 8층
(지번) 창천동 31-4
"
푸어링아웃,4.1,매일 10:00 ~ 22:00,https://place.map.kakao.com/1980694762,"
서울 서대문구 연희로11나길 7-7
(지번) 연희동 128-27
"
빈플루,3.9,매일 08:30 ~ 22:00,https://place.map.kakao.com/1711866094,"
서울 서대문구 응암로 118 1층
(지번) 북가좌동 278-9
"
하이드미플리즈,4.5,매일 11:00 ~ 22:00,https://place.map.kakao.com/27201991,"
서울 서대문구 통일로39나길 5 1층
(지번) 홍제동 330-226
"
에이투지카페,3.6,매일 12:00 ~ 22:00,https://place.map.kakao.com/13594462,"
서울 서대문구 연세로4길 29
(지번) 창천동 13-14
"
로덴드론,4.1,매일 08:00 ~ 23:00,https://place.map.kakao.com/205823441,"
서울 서대문구 연희로25길 82
(지번) 연희동 90-8
"
그릭데이 이대점,3.5,영업시간 매일 11:00 ~ 20:00,https://place.map.kakao.com/577825774,"
서울 서대문구 이화여대길 88-21 2층
(지번) 대현동 34-40
"
롯지190,4.6,수~일 12:00 ~ 22:00,https://place.map.kakao.com/569185007,"
서울 서대문구 홍제천로 190 1층
(지번) 연희동 170-3
"
호밀밭,4.2,매일 12:30 ~ 22:00,https://place.map.kakao.com/19852273,"
서울 서대문구 신촌역로 43
(지번) 창천동 4-77
"
카페미뇽 신촌점,3.3,매일 08:00 ~ 24:00,https://place.map.kakao.com/2038870116,"
서울 서대문구 신촌로 87-12 1층~5층
(지번) 창천동 30-45
"
올레무스,4.4,영업시간 매일 12:00 ~ 18:00,https://place.map.kakao.com/961299046,"
서울 서대문구 연희로5길 58 1층
(지번) 연희동 220-40
"
발카롱,4.6,"월,일요일",https://place.map.kakao.com/685757963,"
서울 서대문구 통일로39길 43 1층
(지번) 홍제동 307-12
"
벙커1,4.3,"토,일요일",https://place.map.kakao.com/17434509,"
서울 서대문구 충정로 20
(지번) 충정로3가 270
"
와플잇업 이대2호점,4.2,매일 12:00 ~ 22:00,https://place.map.kakao.com/17153633,"
서울 서대문구 이화여대3길 42-19
(지번) 대현동 27-17
"
베어스덴,3.8,"화,수,목,금,일 11:00 ~ 21:00",https://place.map.kakao.com/838351158,"
서울 서대문구 연희로4길 10 1,2층
(지번) 창천동 441
"
스타벅스 연희DT점,3.0,매일 07:00 ~ 22:00,https://place.map.kakao.com/26571462,"
서울 서대문구 연희로 144
(지번) 연희동 87-8
"
